,id,title,rating,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
3595,6620,Sabrina,7.523,1124,Released,1954-09-10,10000000,113,False,/3y8NgBIey8sivJAHaeIiyOnkDOz.jpg,2239000,tt0047437,en,Sabrina,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus.",16.24,/r8woenvB9eqnlgXDzSt3pWTfWzq.jpg,...the chauffeur's daughter who learned her stuff in Paris,"Comedy, Romance",Paramount,United States of America,"English, French","chauffeur, sibling relationship, champagne, playboy, love, teenage crush, millionaire, high society, manhattan, new york city, impossible love, family disapproval"
3606,331781,Amy,7.588,1120,Released,2015-07-03,8413144,128,False,/8YiAnbmo8ARHNVt25Cp5fVt4rNd.jpg,0,tt2870648,en,Amy,"A documentary on the life of Amy Winehouse, the immensely talented yet doomed songstress. We see her from her teen years, where she already showed her singing abilities, to her finding success and then her downward spiral into alcoholism and drugs.",12.051,/qL0RepWSNUuZoeDXfyhqowVYhrn.jpg,The girl behind the name.,"Documentary, Music","On the Corner Films, Universal Music Group, Film4 Productions","United Kingdom, United States of America",English,"jazz, drug addiction, rehabilitation, overdose, jazz singer or musician, biography, addiction, drug rehabilitation, drug overdose, addict, eating disorder, downward spiral"
3617,71157,Polisse,7.828,1116,Released,2011-10-06,20374201,123,False,/1nR9mCsJD02j13wet0yAnVhEG6Y.jpg,0,tt1661420,fr,Polisse,"Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.",11.904,/cKs3XSFVbFeZcH3g9geAvr6ApOl.jpg,,"Drama, Thriller","Les Productions du Trésor, Chaocorp, Shortcom, ARTE France Cinéma, Mars Films",France,"Arabic, French, Italian, Romanian","husband wife relationship, paris, france, family relationships, co-workers relationship, extramarital affair, photojournalism, woman director, abused child"
3624,13466,October Sky,7.622,1114,Released,1999-02-19,34698685,108,False,/c6uIPrMgvDzhEGSKuZc8aw6NfC.jpg,25000000,tt0132477,en,October Sky,"Based on the true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes, and eventually became a NASA scientist.",15.7,/iZiHYgDjt1A03QJwCnQsDvmZtCR.jpg,Sometimes one dream is enough to light up the whole sky.,"Drama, Family",Universal Pictures,United States of America,English,"small town, based on novel or book, parent child relationship, satellite, biography, rocket, west virginia, mining accident, teacher, coal mine, 1950s, sputnik, rocketry"
3634,320007,Victoria,7.644,1111,Released,2015-06-11,3191971,138,False,/dGEBDMw3FaUmVGLn4vpjdgoTunk.jpg,0,tt4226388,de,Victoria,A young Spanish woman who has newly moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,10.527,/9P8QgfoMcFX7vp2Gj2cYFecHVRZ.jpg,One City. One Night. One Take.,"Crime, Thriller, Romance","WDR, MonkeyBoy, RadicalMedia, ARTE, Deutschfilm, ARD","Germany, United States of America","German, Spanish, English","berlin, germany, love at first sight, bullet wound, bank robbery, playing piano, real time, genre bending, concert pianist, single take, one take, techno music, running from police"
3685,585244,I Still Believe,7.603,1089,Released,2020-03-12,16069730,115,False,/21Q8bzu10YF9i4O5amBkJBombYo.jpg,12000000,tt9779516,en,I Still Believe,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,15.677,/dqA2FCzz4OMmXLitKopzf476RVB.jpg,One love can change your life.,"Music, Drama, Romance",Kevin Downes Productions,United States of America,English,"biography, romance, christian film"
3692,612706,Work It,7.612,1087,Released,2020-08-07,0,93,False,/oAcV4179Kdpvb2xk9TtS8Ewrp8q.jpg,0,tt10276470,en,Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,16.679,/b5XfICAvUe8beWExBz97i0Qw4Qh.jpg,Dance to your own beat.,"Comedy, Music","STX Films, Alloy Entertainment, AK Worldwide",United States of America,English,"high school, dance competition, teen movie, interracial romance"
3693,200085,The Flu,7.525,1086,Released,2013-08-14,19775853,122,False,/uFwnUQ3ZwE5EbBEDBzs1bRPlOx8.jpg,0,tt2351310,ko,감기,"A case of the flu quickly morphs into a pandemic. As the death toll mounts and the living panic, the government plans extreme measures to contain it.",25.472,/mvTXhTddHIZbOU9pmrcPODI1kRx.jpg,Death goes viral.,"Action, Adventure, Science Fiction","iLoveCinema, iFilm, Sidus, CJ Entertainment",South Korea,"English, Korean, Tagalog","quarantine, police, flu, survival, disaster, doctor, lethal virus, epidemic, virus, influenza, mother daughter relationship"
3695,3078,It Happened One Night,7.874,1086,Released,1934-02-22,4500000,105,False,/wxZrzT4WAS6PthKX1JtBpKBe5wl.jpg,325000,tt0025316,en,It Happened One Night,"A renegade reporter and a young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",15.647,/2PNUGWAflH6UUumas0POMmokHlc.jpg,An unforgettable entertainment...the outstanding performance of two outstanding careers!,"Comedy, Romance",Columbia Pictures,United States of America,English,"newspaper, miami, florida, marriage, reporter, black and white, screwball comedy, socialite, pre-code, based on short story, screwball, hitchhiking, road movie, rich girl, brat, trains"
3697,961,The General,7.982,1085,Released,1926-12-25,1000000,79,False,/h68ilwiTesb5wmDgy2mHYkVuOBP.jpg,750000,tt0017925,en,The General,"During America’s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",13.777,/4NmV1Wei4LxT2lpjViCAScgCZLq.jpg,"Buster drives ""The General"" to trainload of laughter.","Comedy, War, Adventure, Action","Joseph M. Schenck Productions, Buster Keaton Productions",United States of America,No Language,"cannon, army, general, southern usa, spy, fiancé, bridge, engineer, attack, black and white, train, silent film, behind enemy lines, american civil war"
3698,514754,Bao,7.6,1084,Released,2018-06-15,0,8,False,/cm915y7fpHTePgMeeb1z1qK87qm.jpg,0,tt8075496,en,Bao,"An aging Chinese mom suffering from empty nest syndrome gets another chance at motherhood when one of her dumplings springs to life as a lively, giggly dumpling boy.",11.726,/tKz7XRXvdy1i7pW4eotaWZSrAx2.jpg,,"Animation, Family, Fantasy",Pixar,"Canada, United States of America",English,"cooking, cartoon, coming of age, chinese, woman director, mother son relationship, dumpling, short film, chinese cuisine"
3701,691179,Friends: The Reunion,7.9,1082,Released,2021-05-27,0,104,False,/y1BomwRA41Cr8s69G9vVQRjwllp.jpg,0,tt11337862,en,Friends: The Reunion,"The cast of Friends reunites for a once-in-a-lifetime celebration of the hit series, an unforgettable evening filled with iconic memories, uncontrollable laughter, happy tears, and special guests.",19.691,/bT3c4TSOP8vBmMoXZRDPTII6eDa.jpg,The one where they get back together.,Documentary,"Bright/Kauffman/Crane Productions, Warner Horizon Unscripted Television, Fulwell 73",United States of America,English,"reunion, friends, sitcom, tv series reunion"
3702,1654,The Dirty Dozen,7.598,1082,Released,1967-06-15,45300000,150,False,/ccegwWa7I2vxxaoXrGB8Wl1g5nl.jpg,5400000,tt0061578,en,The Dirty Dozen,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",26.602,/iFpgjfE4gt7guOLvrqgZZoO4Rjk.jpg,Train them! Excite them! Arm them!...Then turn them loose on the Nazis!,"Action, Adventure, War","Seven Arts Pictures, MKH, Metro-Goldwyn-Mayer","United Kingdom, United States of America","Latin, English, German, French, Spanish","mission, based on novel or book, nazi, secret mission, world war ii, castle, hand grenade, training, us army, fistfight, shootout, suicide mission, soldier, explosion, commando, behind enemy lines, military police"
3712,592350,My Hero Academia: Heroes Rising,8.185,1078,Released,2019-12-20,29900850,104,False,/9guoVF7zayiiUq5ulKQpt375VIy.jpg,0,tt11107074,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",29.697,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,,"Animation, Action, Fantasy, Adventure","BONES, dentsu, movic, Nippon Television Network Corporation, Shueisha, Sony Music Entertainment (Japan), Yomiuri Telecasting Corporation, TOHO, TOHO MUSIC",Japan,Japanese,"japan, hero, superhero, fighting, super power, adult animation, shounen, anime"
